REGION,PROV_CODE,PROV_NAME,DIST_CODE,DIST_NAME,INC_DATE,INC_TYPE,Persons_killed,Persons_injured,Families_affected,Individuals_affected2,Houses_damaged,Houses_destroyed
#adm1 +name +en,#adm2 +code,#adm2 +name +en,#adm3 +code,#adm3 +name +en,#cause +date,#cause +type,#affected +killed +num,#affected +injured +num,#affected +families +num,#affected +individuals +num,#damaged+houses+num,#destroyed+houses+num
Eastern,6,Nangarhar,608,Kuzkunar,06-07-22,Flood / flash flood,0,0,6,50,6,0
Eastern,6,Nangarhar,608,Kuzkunar,06-07-22,Flood / flash flood,0,0,12,84,12,0
Eastern,6,Nangarhar,615,Batikot,06-07-22,Flood / flash flood,0,0,6,44,3,3
Eastern,6,Nangarhar,609,Dara-e-Nur,06-07-22,Flood / flash flood,0,0,10,68,8,2
Eastern,6,Nangarhar,601,Jalalabad,06-07-22,Flood / flash flood,0,0,4,29,4,0
Eastern,6,Nangarhar,607,Kama,06-07-22,Flood / flash flood,0,0,3,22,3,0
Eastern,6,Nangarhar,613,Dehbala,06-07-22,Flood / flash flood,0,0,3,22,3,0
Eastern,14,Nuristan,1405,Wama,06-07-22,Flood / flash flood,7,0,13,91,13,0
Eastern,7,Laghman,704,Alingar,06-07-22,Flood / flash flood,1,3,80,560,80,0
Eastern,13,Kunar,1303,Narang,06-07-22,Flood / flash flood,0,0,2,14,2,0
Eastern,7,Laghman,701,Mehtarlam,06-07-22,Flood / flash flood,0,0,17,161,28,0
Eastern,7,Laghman,704,Alingar,07-07-22,Flood / flash flood,1,2,6,72,6,0
South Eastern,11,Ghazni,1107,Zanakhan,07-07-22,Flood / flash flood,3,1,6,59,4,2
Southern,24,Zabul,2402,Arghandab,07-07-22,Flood / flash flood,0,0,19,150,19,0
South Eastern,11,Ghazni,1114,Muqur,07-07-22,Flood / flash flood,0,0,2,32,2,0
Eastern,7,Laghman,704,Alingar,07-07-22,Flood / flash flood,0,0,10,90,10,0
South Eastern,11,Ghazni,1106,Dehyak,07-07-22,Flood / flash flood,0,0,21,421,21,0
